Designator,Package,Mid X,Mid Y,Layer,Rotation,Comment
LED129,SK6805-1515,-20.472,176.675,Front,270,SK6805-1515 LED
LED130,SK6805-1515,-30.317,176.684,Front,89.8,SK6805-1515 LED
LED131,SK6805-1515,-33.286,176.679,Front,89.8,SK6805-1515 LED
LED132,SK6805-1515,-36.253,176.738,Front,93.7,SK6805-1515 LED
LED133,SK6805-1515,-11.947,172.787,Front,315.1,SK6805-1515 LED
LED134,SK6805-1515,-10.897,171.734,Front,315,SK6805-1515 LED
LED135,SK6805-1515,-9.847,170.681,Front,315,SK6805-1515 LED
LED136,SK6805-1515,-8.796,169.629,Front,315,SK6805-1515 LED
LED137,SK6805-1515,-7.745,168.577,Front,315,SK6805-1515 LED
LED138,SK6805-1515,-18.396,176.571,Front,278.6,SK6805-1515 LED
LED139,SK6805-1515,-15.651,175.787,Front,295.3,SK6805-1515 LED
LED140,SK6805-1515,-13.298,174.169,Front,311.2,SK6805-1515 LED
LED141,SK6805-1515,-0.767,161.595,Front,315,SK6805-1515 LED
LED142,SK6805-1515,0.191,160.637,Front,315,SK6805-1515 LED
LED143,SK6805-1515,1.149,159.679,Front,315,SK6805-1515 LED
LED144,SK6805-1515,2.107,158.72,Front,315,SK6805-1515 LED
LED145,SK6805-1515,-6.324,167.146,Front,314.8,SK6805-1515 LED
LED146,SK6805-1515,-4.203,165.031,Front,315,SK6805-1515 LED
LED147,SK6805-1515,-2.089,162.91,Front,315.1,SK6805-1515 LED
LED148,SK6805-1515,8.867,151.958,Front,315,SK6805-1515 LED
LED149,SK6805-1515,10.05,150.774,Front,315,SK6805-1515 LED
LED150,SK6805-1515,11.233,149.59,Front,315,SK6805-1515 LED
LED151,SK6805-1515,3.415,157.394,Front,314.6,SK6805-1515 LED
LED152,SK6805-1515,5.506,155.319,Front,314.8,SK6805-1515 LED
LED153,SK6805-1515,7.593,153.241,Front,314.8,SK6805-1515 LED
LED154,SK6805-1515,18.057,142.762,Front,315,SK6805-1515 LED
LED155,SK6805-1515,19.117,141.702,Front,315,SK6805-1515 LED
LED156,SK6805-1515,20.176,140.642,Front,315,SK6805-1515 LED
LED157,SK6805-1515,21.236,139.582,Front,315,SK6805-1515 LED
LED158,SK6805-1515,12.61,148.212,Front,315,SK6805-1515 LED
LED159,SK6805-1515,14.722,146.097,Front,315.1,SK6805-1515 LED
LED160,SK6805-1515,16.826,143.976,Front,315.3,SK6805-1515 LED
LED161,SK6805-1515,24.532,130.729,Front,0,SK6805-1515 LED
LED162,SK6805-1515,24.532,129.342,Front,0,SK6805-1515 LED
LED163,SK6805-1515,24.532,127.955,Front,0,SK6805-1515 LED
LED164,SK6805-1515,24.532,126.568,Front,0,SK6805-1515 LED
LED165,SK6805-1515,24.532,125.181,Front,0,SK6805-1515 LED
LED166,SK6805-1515,24.532,123.794,Front,0,SK6805-1515 LED
LED167,SK6805-1515,24.532,122.407,Front,0,SK6805-1515 LED
LED168,SK6805-1515,24.532,121.02,Front,0,SK6805-1515 LED
LED169,SK6805-1515,24.532,119.633,Front,0,SK6805-1515 LED
LED170,SK6805-1515,24.532,118.246,Front,0,SK6805-1515 LED
LED171,SK6805-1515,24.532,116.859,Front,0,SK6805-1515 LED
LED172,SK6805-1515,24.532,115.472,Front,0,SK6805-1515 LED
LED173,SK6805-1515,24.532,114.085,Front,0,SK6805-1515 LED
LED174,SK6805-1515,24.532,112.698,Front,0,SK6805-1515 LED
LED175,SK6805-1515,24.532,111.311,Front,0,SK6805-1515 LED
LED176,SK6805-1515,24.532,109.924,Front,0,SK6805-1515 LED
LED177,SK6805-1515,24.532,108.537,Front,0,SK6805-1515 LED
LED178,SK6805-1515,24.532,107.15,Front,0,SK6805-1515 LED
LED179,SK6805-1515,24.532,105.763,Front,0,SK6805-1515 LED
LED180,SK6805-1515,24.532,104.376,Front,0,SK6805-1515 LED
LED181,SK6805-1515,24.532,102.989,Front,0,SK6805-1515 LED
LED182,SK6805-1515,24.532,101.602,Front,0,SK6805-1515 LED
LED183,SK6805-1515,24.532,100.215,Front,0,SK6805-1515 LED
LED184,SK6805-1515,24.532,98.828,Front,0,SK6805-1515 LED
LED185,SK6805-1515,24.532,97.441,Front,0,SK6805-1515 LED
LED186,SK6805-1515,24.532,96.054,Front,0,SK6805-1515 LED
LED187,SK6805-1515,24.532,94.667,Front,0,SK6805-1515 LED
LED188,SK6805-1515,24.532,93.28,Front,0,SK6805-1515 LED
LED189,SK6805-1515,24.533,91.893,Front,359.2,SK6805-1515 LED
LED190,SK6805-1515,24.707,90.52,Front,346.1,SK6805-1515 LED
LED191,SK6805-1515,25.191,89.224,Front,332.8,SK6805-1515 LED
LED192,SK6805-1515,25.959,88.072,Front,319.7,SK6805-1515 LED
LED193,SK6805-1515,26.968,87.125,Front,306.6,SK6805-1515 LED
LED194,SK6805-1515,28.165,86.431,Front,293.4,SK6805-1515 LED
LED195,SK6805-1515,29.49,86.031,Front,280.2,SK6805-1515 LED
LED196,SK6805-1515,30.871,85.935,Front,270,SK6805-1515 LED
LED197,SK6805-1515,32.258,85.935,Front,270,SK6805-1515 LED
LED198,SK6805-1515,33.645,85.935,Front,270,SK6805-1515 LED
LED199,SK6805-1515,35.032,85.935,Front,270,SK6805-1515 LED
LED200,SK6805-1515,36.419,85.935,Front,270,SK6805-1515 LED
LED201,SK6805-1515,37.806,85.935,Front,270,SK6805-1515 LED
LED202,SK6805-1515,39.193,85.935,Front,270,SK6805-1515 LED
LED203,SK6805-1515,22.541,138.033,Front,329.3,SK6805-1515 LED
LED204,SK6805-1515,23.808,135.448,Front,339.8,SK6805-1515 LED
LED205,SK6805-1515,24.509,132.657,Front,350.4,SK6805-1515 LED
LED206,SK6805-1515,60.523,85.935,Front,270,SK6805-1515 LED
LED207,SK6805-1515,61.974,85.935,Front,270,SK6805-1515 LED
LED208,SK6805-1515,63.425,85.935,Front,270,SK6805-1515 LED
LED209,SK6805-1515,64.876,85.935,Front,270,SK6805-1515 LED
LED210,SK6805-1515,66.327,85.935,Front,270,SK6805-1515 LED
LED211,SK6805-1515,67.778,85.935,Front,270,SK6805-1515 LED
LED212,SK6805-1515,69.229,85.935,Front,270,SK6805-1515 LED
LED213,SK6805-1515,70.68,85.935,Front,270,SK6805-1515 LED
LED214,SK6805-1515,72.131,85.935,Front,270,SK6805-1515 LED
LED215,SK6805-1515,73.582,85.935,Front,270,SK6805-1515 LED
LED216,SK6805-1515,75.033,85.935,Front,270,SK6805-1515 LED
LED217,SK6805-1515,108.955,85.935,Front,90,SK6805-1515 LED
LED218,SK6805-1515,106.042,85.935,Front,90,SK6805-1515 LED
LED219,SK6805-1515,103.128,85.935,Front,90,SK6805-1515 LED
LED220,SK6805-1515,96.525,85.935,Front,270,SK6805-1515 LED
LED221,SK6805-1515,98.063,85.935,Front,270,SK6805-1515 LED
LED222,SK6805-1515,99.601,85.935,Front,270,SK6805-1515 LED
LED223,SK6805-1515,101.139,85.935,Front,270,SK6805-1515 LED
LED224,SK6805-1515,125.104,90.858,Front,201.4,SK6805-1515 LED
LED225,SK6805-1515,125.938,93.65,Front,189.5,SK6805-1515 LED
LED226,SK6805-1515,126.052,96.563,Front,179.9,SK6805-1515 LED
LED227,SK6805-1515,110.923,85.935,Front,270,SK6805-1515 LED
LED228,SK6805-1515,112.334,85.935,Front,270,SK6805-1515 LED
LED229,SK6805-1515,113.745,85.935,Front,270,SK6805-1515 LED
LED230,SK6805-1515,115.156,85.935,Front,270,SK6805-1515 LED
LED231,SK6805-1515,116.567,85.935,Front,270,SK6805-1515 LED
LED232,SK6805-1515,117.976,85.992,Front,263.5,SK6805-1515 LED
LED233,SK6805-1515,119.36,86.259,Front,254.5,SK6805-1515 LED
LED234,SK6805-1515,120.685,86.741,Front,245.5,SK6805-1515 LED
LED235,SK6805-1515,121.92,87.42,Front,236.8,SK6805-1515 LED
LED236,SK6805-1515,123.04,88.275,Front,228.3,SK6805-1515 LED
LED237,SK6805-1515,124.017,89.292,Front,219,SK6805-1515 LED
LED238,SK6805-1515,126.052,114.987,Front,179.9,SK6805-1515 LED
LED239,SK6805-1515,126.052,117.942,Front,179.9,SK6805-1515 LED
LED240,SK6805-1515,126.052,120.896,Front,179.9,SK6805-1515 LED
LED241,SK6805-1515,126.052,98.453,Front,179.9,SK6805-1515 LED
LED242,SK6805-1515,126.052,99.789,Front,179.9,SK6805-1515 LED
LED243,SK6805-1515,126.052,101.125,Front,179.9,SK6805-1515 LED
LED244,SK6805-1515,126.052,102.461,Front,179.9,SK6805-1515 LED
LED245,SK6805-1515,126.052,103.797,Front,179.9,SK6805-1515 LED
LED246,SK6805-1515,126.052,105.133,Front,179.9,SK6805-1515 LED
LED247,SK6805-1515,126.052,106.469,Front,179.9,SK6805-1515 LED
LED248,SK6805-1515,126.052,107.805,Front,179.9,SK6805-1515 LED
LED249,SK6805-1515,126.052,109.141,Front,179.9,SK6805-1515 LED
