Designator,Package,Mid X,Mid Y,Layer,Rotation,Comment
LED167,SK6805-1515,126.051,148.132,Front,179.9,SK6805-1515 LED
LED168,SK6805-1515,126.051,150.352,Front,179.9,SK6805-1515 LED
LED169,SK6805-1515,126.051,152.572,Front,179.9,SK6805-1515 LED
LED170,SK6805-1515,126.051,154.792,Front,179.9,SK6805-1515 LED
LED171,SK6805-1515,126.051,157.012,Front,179.9,SK6805-1515 LED
LED172,SK6805-1515,125.65,163.021,Front,163,SK6805-1515 LED
LED173,SK6805-1515,124.762,165.015,Front,147.9,SK6805-1515 LED
LED174,SK6805-1515,123.405,166.728,Front,137,SK6805-1515 LED
LED175,SK6805-1515,121.829,168.246,Front,133.6,SK6805-1515 LED
LED176,SK6805-1515,120.244,169.757,Front,133.6,SK6805-1515 LED
LED177,SK6805-1515,118.66,171.267,Front,133.6,SK6805-1515 LED
LED178,SK6805-1515,117.075,172.778,Front,133.6,SK6805-1515 LED
LED179,SK6805-1515,115.491,174.288,Front,133.6,SK6805-1515 LED
LED180,SK6805-1515,113.906,175.798,Front,133.6,SK6805-1515 LED
LED181,SK6805-1515,112.322,177.309,Front,133.6,SK6805-1515 LED
LED182,SK6805-1515,110.737,178.819,Front,133.6,SK6805-1515 LED
LED183,SK6805-1515,94.974,193.843,Front,133.6,SK6805-1515 LED
LED184,SK6805-1515,93.418,195.326,Front,133.6,SK6805-1515 LED
LED185,SK6805-1515,91.863,196.809,Front,133.6,SK6805-1515 LED
LED186,SK6805-1515,90.307,198.292,Front,133.6,SK6805-1515 LED
LED187,SK6805-1515,88.752,199.774,Front,133.6,SK6805-1515 LED
LED188,SK6805-1515,87.196,201.257,Front,133.6,SK6805-1515 LED
LED189,SK6805-1515,107.064,5.217,Front,89.9,SK6805-1515 LED
LED190,SK6805-1515,126.051,160.013,Front,179.9,SK6805-1515 LED
LED191,SK6805-1515,13.678,-3.395,Front,224,SK6805-1515 LED
LED192,SK6805-1515,15.379,-1.636,Front,224,SK6805-1515 LED
LED193,SK6805-1515,17.079,0.122,Front,224,SK6805-1515 LED
LED194,SK6805-1515,18.779,1.88,Front,224,SK6805-1515 LED
LED195,SK6805-1515,20.479,3.639,Front,224,SK6805-1515 LED
LED196,SK6805-1515,22.18,5.397,Front,224,SK6805-1515 LED
LED197,SK6805-1515,23.88,7.156,Front,224,SK6805-1515 LED
LED198,SK6805-1515,25.58,8.914,Front,224,SK6805-1515 LED
LED199,SK6805-1515,27.28,10.672,Front,224,SK6805-1515 LED
LED200,SK6805-1515,28.981,12.431,Front,224,SK6805-1515 LED
LED201,SK6805-1515,30.793,14.066,Front,234.6,SK6805-1515 LED
LED202,SK6805-1515,32.946,15.213,Front,249.1,SK6805-1515 LED
LED203,SK6805-1515,35.318,15.785,Front,263.6,SK6805-1515 LED
LED204,SK6805-1515,37.762,15.844,Front,270,SK6805-1515 LED
LED205,SK6805-1515,40.208,15.844,Front,270,SK6805-1515 LED
LED206,SK6805-1515,42.654,15.844,Front,270,SK6805-1515 LED
LED207,SK6805-1515,45.1,15.844,Front,270,SK6805-1515 LED
LED208,SK6805-1515,47.546,15.844,Front,270,SK6805-1515 LED
LED209,SK6805-1515,49.992,15.844,Front,270,SK6805-1515 LED
LED210,SK6805-1515,52.438,15.844,Front,270,SK6805-1515 LED
LED211,SK6805-1515,54.884,15.844,Front,270,SK6805-1515 LED
LED212,SK6805-1515,57.33,15.844,Front,270,SK6805-1515 LED
LED213,SK6805-1515,59.776,15.844,Front,270,SK6805-1515 LED
LED214,SK6805-1515,62.222,15.844,Front,270,SK6805-1515 LED
LED215,SK6805-1515,64.668,15.844,Front,270,SK6805-1515 LED
LED216,SK6805-1515,67.114,15.844,Front,270,SK6805-1515 LED
LED217,SK6805-1515,69.56,15.844,Front,270,SK6805-1515 LED
LED218,SK6805-1515,72.006,15.844,Front,270,SK6805-1515 LED
LED219,SK6805-1515,74.446,15.947,Front,260.1,SK6805-1515 LED
LED220,SK6805-1515,76.735,16.772,Front,240.1,SK6805-1515 LED
LED221,SK6805-1515,78.606,18.328,Front,220.3,SK6805-1515 LED
LED222,SK6805-1515,79.838,20.427,Front,200.4,SK6805-1515 LED
LED223,SK6805-1515,80.278,22.821,Front,180.4,SK6805-1515 LED
LED224,SK6805-1515,80.278,25.267,Front,180,SK6805-1515 LED
LED225,SK6805-1515,80.279,27.713,Front,180,SK6805-1515 LED
LED226,SK6805-1515,80.279,30.159,Front,180,SK6805-1515 LED
LED227,SK6805-1515,80.279,32.605,Front,180,SK6805-1515 LED
LED228,SK6805-1515,80.279,35.051,Front,180,SK6805-1515 LED
LED229,SK6805-1515,80.28,54.627,Front,180,SK6805-1515 LED
LED230,SK6805-1515,80.28,57.042,Front,180,SK6805-1515 LED
LED231,SK6805-1515,80.28,59.457,Front,180,SK6805-1515 LED
LED232,SK6805-1515,80.28,61.872,Front,180,SK6805-1515 LED
LED233,SK6805-1515,80.28,64.287,Front,180,SK6805-1515 LED
LED234,SK6805-1515,80.28,66.702,Front,180,SK6805-1515 LED
LED235,SK6805-1515,80.28,69.117,Front,180,SK6805-1515 LED
LED236,SK6805-1515,80.28,71.532,Front,180,SK6805-1515 LED
LED237,SK6805-1515,80.28,73.947,Front,180,SK6805-1515 LED
LED238,SK6805-1515,80.28,76.362,Front,180,SK6805-1515 LED
LED239,SK6805-1515,80.274,95.875,Front,179.8,SK6805-1515 LED
LED240,SK6805-1515,80.267,98.053,Front,179.8,SK6805-1515 LED
LED241,SK6805-1515,80.26,100.231,Front,179.8,SK6805-1515 LED
LED242,SK6805-1515,80.254,102.409,Front,179.8,SK6805-1515 LED
LED243,SK6805-1515,80.247,104.587,Front,179.8,SK6805-1515 LED
LED244,SK6805-1515,80.241,106.677,Front,179.8,SK6805-1515 LED
LED245,SK6805-1515,80.234,108.842,Front,179.8,SK6805-1515 LED
LED246,SK6805-1515,80.227,111.007,Front,179.8,SK6805-1515 LED
LED247,SK6805-1515,80.221,113.172,Front,179.8,SK6805-1515 LED
LED248,SK6805-1515,80.214,115.337,Front,179.8,SK6805-1515 LED
LED249,SK6805-1515,80.207,117.502,Front,179.8,SK6805-1515 LED
LED250,SK6805-1515,80.201,119.667,Front,179.8,SK6805-1515 LED
LED251,SK6805-1515,80.166,121.831,Front,175.3,SK6805-1515 LED
LED252,SK6805-1515,79.745,123.95,Front,162.1,SK6805-1515 LED
LED253,SK6805-1515,78.896,125.836,Front,149.4,SK6805-1515 LED
LED254,SK6805-1515,77.447,127.704,Front,135,SK6805-1515 LED
LED255,SK6805-1515,75.578,129.154,Front,120.5,SK6805-1515 LED
LED256,SK6805-1515,73.407,130.09,Front,106,SK6805-1515 LED
LED257,SK6805-1515,71.07,130.45,Front,91.5,SK6805-1515 LED
LED258,SK6805-1515,68.699,130.454,Front,90,SK6805-1515 LED
LED259,SK6805-1515,66.592,130.454,Front,90,SK6805-1515 LED
LED260,SK6805-1515,64.326,130.454,Front,90,SK6805-1515 LED
LED261,SK6805-1515,62.06,130.454,Front,90,SK6805-1515 LED
LED262,SK6805-1515,59.795,130.514,Front,94.8,SK6805-1515 LED
LED263,SK6805-1515,57.557,130.854,Front,102.4,SK6805-1515 LED
LED264,SK6805-1515,55.384,131.492,Front,110.2,SK6805-1515 LED
LED265,SK6805-1515,53.317,132.417,Front,117.9,SK6805-1515 LED
LED266,SK6805-1515,51.393,133.61,Front,125.6,SK6805-1515 LED
LED267,SK6805-1515,49.645,135.049,Front,133.2,SK6805-1515 LED
LED268,SK6805-1515,48.104,136.708,Front,140.9,SK6805-1515 LED
LED269,SK6805-1515,46.797,138.557,Front,148.5,SK6805-1515 LED
LED270,SK6805-1515,45.749,140.564,Front,156.2,SK6805-1515 LED
LED271,SK6805-1515,44.98,142.694,Front,164,SK6805-1515 LED
LED272,SK6805-1515,44.505,144.908,Front,171.7,SK6805-1515 LED
LED273,SK6805-1515,44.331,147.165,Front,179.3,SK6805-1515 LED
LED274,SK6805-1515,44.33,149.431,Front,180,SK6805-1515 LED
LED275,SK6805-1515,44.33,151.697,Front,180,SK6805-1515 LED
LED276,SK6805-1515,44.33,153.788,Front,180,SK6805-1515 LED
LED277,SK6805-1515,44.33,156.049,Front,180,SK6805-1515 LED
LED278,SK6805-1515,44.33,158.31,Front,180,SK6805-1515 LED
LED279,SK6805-1515,44.33,160.571,Front,180,SK6805-1515 LED
LED280,SK6805-1515,44.354,162.831,Front,183,SK6805-1515 LED
LED281,SK6805-1515,44.619,165.075,Front,190.4,SK6805-1515 LED
LED282,SK6805-1515,45.174,167.265,Front,198,SK6805-1515 LED
LED283,SK6805-1515,46.012,169.363,Front,205.5,SK6805-1515 LED
LED284,SK6805-1515,47.118,171.334,Front,213,SK6805-1515 LED
LED285,SK6805-1515,48.471,173.144,Front,220.4,SK6805-1515 LED
LED286,SK6805-1515,50.046,174.763,Front,227.9,SK6805-1515 LED
LED287,SK6805-1515,51.818,176.164,Front,235.3,SK6805-1515 LED
LED288,SK6805-1515,53.758,177.324,Front,242.8,SK6805-1515 LED
LED289,SK6805-1515,55.832,178.22,Front,250.4,SK6805-1515 LED
LED290,SK6805-1515,58.006,178.836,Front,257.9,SK6805-1515 LED
LED291,SK6805-1515,60.241,179.162,Front,265.4,SK6805-1515 LED
LED292,SK6805-1515,62.501,179.218,Front,270,SK6805-1515 LED
LED293,SK6805-1515,64.762,179.218,Front,270,SK6805-1515 LED
LED294,SK6805-1515,66.592,179.218,Front,270,SK6805-1515 LED
LED295,SK6805-1515,68.834,179.218,Front,270,SK6805-1515 LED
LED296,SK6805-1515,71.076,179.218,Front,270,SK6805-1515 LED
LED297,SK6805-1515,73.318,179.218,Front,270,SK6805-1515 LED
LED298,SK6805-1515,75.56,179.218,Front,270,SK6805-1515 LED
LED299,SK6805-1515,77.802,179.218,Front,270,SK6805-1515 LED
LED300,SK6805-1515,80.044,179.218,Front,270,SK6805-1515 LED
LED301,SK6805-1515,82.286,179.218,Front,270,SK6805-1515 LED
LED302,SK6805-1515,84.528,179.218,Front,270,SK6805-1515 LED
LED303,SK6805-1515,86.762,179.339,Front,259.3,SK6805-1515 LED
LED304,SK6805-1515,88.864,180.092,Front,241.2,SK6805-1515 LED
LED305,SK6805-1515,90.629,181.46,Front,225,SK6805-1515 LED
LED306,SK6805-1515,92.215,183.045,Front,225,SK6805-1515 LED
LED307,SK6805-1515,5.405,155.421,Front,315,SK6805-1515 LED
LED308,SK6805-1515,106.03,85.935,Front,270,SK6805-1515 LED
LED309,SK6805-1515,125.947,93.644,Front,188.6,SK6805-1515 LED
LED310,SK6805-1515,140.972,-2.406,Front,135.6,SK6805-1515 LED
LED311,SK6805-1515,139.356,-0.752,Front,135.6,SK6805-1515 LED
LED312,SK6805-1515,137.741,0.902,Front,135.6,SK6805-1515 LED
LED313,SK6805-1515,136.099,2.529,Front,130.9,SK6805-1515 LED
LED314,SK6805-1515,134.207,3.85,Front,118.9,SK6805-1515 LED
LED315,SK6805-1515,132.081,4.749,Front,106.9,SK6805-1515 LED
LED316,SK6805-1515,129.815,5.185,Front,94.8,SK6805-1515 LED
LED317,SK6805-1515,127.504,5.225,Front,89.9,SK6805-1515 LED
LED318,SK6805-1515,125.192,5.224,Front,89.9,SK6805-1515 LED
LED319,SK6805-1515,122.88,5.223,Front,89.9,SK6805-1515 LED
LED320,SK6805-1515,116.965,5.221,Front,89.9,SK6805-1515 LED
LED321,SK6805-1515,114.674,5.22,Front,89.9,SK6805-1515 LED
LED322,SK6805-1515,112.383,5.219,Front,89.9,SK6805-1515 LED
LED323,SK6805-1515,110.092,5.218,Front,89.9,SK6805-1515 LED
LED324,SK6805-1515,104.143,5.216,Front,89.9,SK6805-1515 LED
LED325,SK6805-1515,101.826,5.215,Front,89.9,SK6805-1515 LED
LED326,SK6805-1515,99.509,5.215,Front,90.9,SK6805-1515 LED
LED327,SK6805-1515,97.226,5.565,Front,106.5,SK6805-1515 LED
LED328,SK6805-1515,95.122,6.518,Front,122.1,SK6805-1515 LED
LED329,SK6805-1515,93.351,8.001,Front,137.7,SK6805-1515 LED
LED330,SK6805-1515,92.042,9.905,Front,153.2,SK6805-1515 LED
